order_id,region,delivery_hour,customer_age,driver_id,items_delivered,items_missing,classe_real,classe_predita,probabilidade_predita,prob_0,prob_2,product_name,category,price
2ac1db48-e4a1-47e4-9c01-2bb0a0fe5f50,2,1926,43,WDID10086,16,2,0,0,0.98,0.98,0.02,"Pancake Mix, Turkey Burgers",Supermarket,26.26
876018e5-ffa2-4549-85f1-9f929f7d717e,5,3096,74,WDID10303,4,0,2,2,1.0,0.0,1.0,,,
dd20ad58-6ab5-4940-90db-39b76c813766,6,5393,90,WDID10513,6,0,2,2,1.0,0.0,1.0,,,
2d2f8f23-d6c5-4479-849f-239597ec1e62,2,224,63,WDID10108,5,0,2,2,1.0,0.0,1.0,,,
c52d4dad-7da3-44cd-b49a-cdc9e6da3c9f,5,1158,48,WDID10918,8,0,2,2,1.0,0.0,1.0,,,
4557a3c1-8f9f-4e10-9651-cc46e3f80636,6,4577,40,WDID10616,19,0,2,2,0.99,0.01,0.99,,,
44afdfb9-e84a-48fd-877f-f0c1d70811e8,1,2590,71,WDID10336,2,0,2,2,1.0,0.0,1.0,,,
75f25189-d8c5-42b1-93e5-b17853c3d7a2,0,4479,41,WDID10466,7,0,2,2,0.97,0.03,0.97,,,
e1593d47-ae96-4057-8478-6b93a41e96d7,1,2214,58,WDID10250,14,0,2,2,0.99,0.01,0.99,,,
1fe745e9-dc0f-4057-b902-0b3b353436f7,2,2307,80,WDID09976,9,0,2,2,1.0,0.0,1.0,,,
6c21446a-3e8e-4940-a9e0-b54088171d02,6,4300,88,WDID09988,9,0,2,2,0.97,0.03,0.97,,,
8a6e6da5-3e0e-44d8-9bad-917141e0bd19,2,4128,34,WDID10183,18,0,2,2,1.0,0.0,1.0,,,
4e21678d-91a4-47eb-951e-e55394e07c4e,1,2381,81,WDID10422,5,2,0,0,0.99,0.99,0.01,"Sony PlayStation 5, Frozen Shrimp","Electronics, Supermarket",885.09
d6d793e1-ddad-41e2-b594-5e7dc7d2e988,0,4010,76,WDID10923,5,0,2,2,1.0,0.0,1.0,,,
d8e9caac-d245-4ece-b1d6-0b9a21f3c62b,2,2355,68,WDID10737,14,1,0,0,0.99,0.99,0.01,Apple Watch Series 6,Electronics,579.0
88bc32da-83be-4292-9d3e-5b951e722051,5,4176,29,WDID10179,18,0,2,2,1.0,0.0,1.0,,,
a511556a-a2f2-4312-9388-b634420d1767,0,5011,46,WDID11028,12,0,2,2,1.0,0.0,1.0,,,
bd2a7ab4-6ffb-4e23-b1ab-1e958d869278,5,3838,18,WDID10262,12,0,2,2,1.0,0.0,1.0,,,
6ca1fc1b-1b69-4c85-a4ee-9ed13639b45f,3,3,22,WDID10302,19,0,2,2,0.99,0.01,0.99,,,
f8db7b03-c4b6-408e-b531-0661d65caee7,0,4680,62,WDID10675,11,1,0,0,0.98,0.98,0.02,Chocolate Milk,Supermarket,6.48
727edd04-c3bc-43d2-b4cc-2542caa26e36,2,3775,30,WDID10082,9,0,2,2,1.0,0.0,1.0,,,
671e166c-005b-4ae8-bea0-71a409c053fb,1,1310,30,WDID10246,13,0,2,2,0.98,0.02,0.98,,,
c37825d0-e361-4d6b-b9be-3e3a1d18c9a7,1,5054,18,WDID10290,7,0,2,2,0.99,0.01,0.99,,,
05e1a1de-72ca-4539-becd-616bb1629fee,6,3104,77,WDID10398,12,0,2,2,1.0,0.0,1.0,,,
f7a4594b-c751-45e5-9c7a-34c361105ab7,5,610,77,WDID10370,13,0,2,2,1.0,0.0,1.0,,,
f0059d4e-e1ce-4610-80fd-d89f1e7f2a0f,0,450,63,WDID09885,18,2,0,0,0.87,0.87,0.13,"Peanut Butter, Peanut Butter, Peanut Butter",Supermarket,57.96
0de1cf82-d0b6-4812-8d4a-8b48c468f311,3,7005,70,WDID10600,7,0,2,2,1.0,0.0,1.0,,,
2bb5beaa-47ba-43ca-a527-3142a1afe048,3,3414,76,WDID10286,11,0,2,2,1.0,0.0,1.0,,,
028bf349-0d0b-4e4f-bde5-54fef910e9b6,3,1793,71,WDID10044,19,0,2,2,0.99,0.01,0.99,,,
cf185ff6-0e19-4d61-a27d-41e82b0680f5,6,2826,34,WDID10894,8,0,2,2,1.0,0.0,1.0,,,
0cf170e5-a6c8-4e34-9afd-63153b56428e,4,4980,47,WDID10398,10,0,2,2,1.0,0.0,1.0,,,
1891ed0c-6121-4e11-809e-d632d77e1a49,0,7365,89,WDID10702,9,0,2,2,1.0,0.0,1.0,,,
4181208b-9f3e-4eab-8f2f-c0a6d1c6bcf5,5,1852,24,WDID10919,9,0,2,2,1.0,0.0,1.0,,,
dcc8e4cc-1d82-4f78-a6f3-714437d315ec,2,3084,42,WDID10887,7,0,2,2,1.0,0.0,1.0,,,
d862b950-4549-48e6-9b40-c171102265c9,5,6600,23,WDID10071,5,0,2,2,1.0,0.0,1.0,,,
b6439400-89b2-4da2-882c-85dd33a2162e,0,1956,39,WDID10651,8,1,0,0,0.98,0.98,0.02,String Cheese,Supermarket,11.13
c07bbd53-89a3-4c01-9b9d-729d30553e52,2,1482,45,WDID10624,9,1,0,0,0.98,0.98,0.02,Granola Bars,Supermarket,8.23
3feb429e-7693-49a3-ae1a-3452c965dfe4,5,3544,79,WDID10802,1,0,2,2,0.97,0.03,0.97,,,
d110d68f-204f-4718-b318-98eb07002b43,0,4491,19,WDID10624,2,0,2,2,1.0,0.0,1.0,,,
9b47622a-a86d-4a3d-9b8d-6302354e69d8,3,1685,80,WDID10470,19,0,2,2,1.0,0.0,1.0,,,
4619e6e1-3740-4ff3-9a50-c06f998aacb7,1,5349,44,WDID09882,4,1,0,0,0.95,0.95,0.05,Eggs,Supermarket,10.57
f86379fd-ab5d-4054-b264-f9f6923776d4,0,6280,51,WDID10505,2,0,2,2,1.0,0.0,1.0,,,
cc68d5d1-581a-4c43-9ad7-cf5a41849ff8,3,9222,32,WDID09922,16,0,2,2,0.99,0.01,0.99,,,
29b441ec-5d96-4c10-918f-046101f95560,0,5216,75,WDID10325,5,0,2,2,0.91,0.09,0.91,,,
f033a6ec-bba6-4c61-abfe-8c2eae7e50c7,3,6021,77,WDID10792,9,0,2,2,1.0,0.0,1.0,,,
149cfc55-361d-4c90-b08f-104473ef12c2,6,9085,42,WDID10073,7,1,0,0,0.9,0.9,0.1,Uncured Bacon,Supermarket,4.67
7b3dcfdc-4a10-4668-b417-d781b7570e04,2,7825,67,WDID10794,19,0,2,2,1.0,0.0,1.0,,,
9bb87578-0567-406e-9af1-ed2dac09c53d,5,5398,79,WDID10726,19,0,2,2,1.0,0.0,1.0,,,
5746725d-abe5-483e-817e-0288ad79b1e1,1,8972,70,WDID10754,18,0,2,2,1.0,0.0,1.0,,,
cfaf7901-b34e-4e86-bd44-78b20f2510f0,0,2294,57,WDID10099,2,1,0,0,0.99,0.99,0.01,Oat Milk,Supermarket,19.58
494bfadb-5c80-4a91-b126-d17ca459254b,1,8363,33,WDID10940,18,0,2,2,0.99,0.01,0.99,,,
9ffba224-2089-4560-a0e5-f878b4af9843,0,6560,83,WDID10509,13,1,0,0,0.98,0.98,0.02,Apples,Supermarket,18.45
5a25d8ea-781a-4c95-b5e5-fe9c35f3165a,3,4305,26,WDID10389,18,0,2,2,1.0,0.0,1.0,,,
ee557aca-836e-4be4-a75e-dde1d0e2ea1a,4,3010,49,WDID10635,13,0,2,2,1.0,0.0,1.0,,,
2ca50cf6-3ee7-4c44-b244-a0fd1289263f,3,1087,61,WDID10352,12,0,2,2,1.0,0.0,1.0,,,
26e1282b-f1d0-43dc-96eb-a086e2bac04d,4,2665,88,WDID10545,15,0,2,2,1.0,0.0,1.0,,,
c0ba3fac-7bbf-4676-9d54-e5b5c20fb435,1,4538,27,WDID10066,4,0,2,2,0.99,0.01,0.99,,,
9ae78cd1-b6bb-46f7-bc54-ed51c1a0ac5b,2,6483,30,WDID10222,13,0,2,2,1.0,0.0,1.0,,,
b61279d3-9cdc-4555-b033-cee93c4baa28,5,9104,27,WDID10089,17,0,2,2,0.99,0.01,0.99,,,
80ac5543-9d7e-4b90-b442-36072cff69d9,4,4154,51,WDID10444,13,0,2,2,0.99,0.01,0.99,,,
5594f331-d792-4b6a-aefe-68f97ac1119b,0,5295,23,WDID10390,13,0,2,2,1.0,0.0,1.0,,,
5a324ce2-68dd-4d5e-9577-583ae94f5988,2,1828,25,WDID10532,12,0,2,2,1.0,0.0,1.0,,,
56be6d6e-f1cf-4a3b-a75b-bd56932dce12,2,2977,33,WDID11041,5,0,2,2,0.99,0.01,0.99,,,
bee7d47d-6761-4077-8578-be6fc469d540,3,1569,27,WDID10809,2,0,2,2,1.0,0.0,1.0,,,
ed4ce2b4-b059-42e3-aa29-2e91c9ce22c2,0,5091,73,WDID10970,6,0,2,2,0.99,0.01,0.99,,,
7d470302-aed3-499f-b079-691dc47d7c76,2,6422,78,WDID10255,3,0,2,2,1.0,0.0,1.0,,,
bf045180-b1d4-4817-bf17-5599235b7719,2,7500,48,WDID11069,10,0,2,2,1.0,0.0,1.0,,,
